text,intent,lang
buy a dozen flour,ADD,en
show me spinach,SEARCH_ITEM,en
busca 365 tomates,SEARCH_ITEM,es
muestrame champu por menos de $2,SEARCH_FILTER,es
sasta chawal $10 se kam mein,SEARCH_FILTER,hi
muestrame cereal,SEARCH_ITEM,es
add spinach to my list,ADD,en
encuentra organic tomates por menos de $10,SEARCH_FILTER,es
get rid of yogurt,REMOVE,en
find cheese in family size,SEARCH_ITEM,en
search pasta between $5 and $8,SEARCH_FILTER,en
elimina agua,REMOVE,es
cancel chicken,REMOVE,en
i don't need olive oil anymore,REMOVE,en
manzanas por menos de $5,SEARCH_FILTER,es
get rid of pasta,REMOVE,en
find olive oil,SEARCH_ITEM,en
find eggs between $4 and $9,SEARCH_FILTER,en
necesito comprar papas,ADD,es
3 cans of pani chahiye,ADD,hi
find organic orange juice under $2,SEARCH_FILTER,en
donde puedo encontrar espinacas,SEARCH_ITEM,es
mujhe cheeni dikhao,SEARCH_ITEM,hi
i need to buy toothpaste,ADD,en
puedes agregar yogur,ADD,es
busca kirkland champu,SEARCH_ITEM,es
toothpaste,ADD,en
find cheap pasta under $3,SEARCH_FILTER,en
where can i find rice,SEARCH_ITEM,en
i don't need pasta anymore,REMOVE,en
"we already have milk, remove it",REMOVE,en
show me coffee under $15,SEARCH_FILTER,en
doodh list mein add karo,ADD,hi
saca harina de la lista,REMOVE,es
borra azucar,REMOVE,es
encuentra jugo de naranja en 1 liter,SEARCH_ITEM,es
quiero 3 cans of pan,ADD,es
kele hatao,REMOVE,hi
platanos,ADD,es
saca cebollas de la lista,REMOVE,es
no olvides el manzanas,ADD,es
"ya tenemos platanos, quitalo",REMOVE,es
mujhe ab seb nahi chahiye,REMOVE,hi
buy 2 shampoo,ADD,en
quiero comprar queso,ADD,es
search for tomatoes,SEARCH_ITEM,en
bananas for less than $15,SEARCH_FILTER,en
borra espinacas,REMOVE,es
agua por menos de $2,SEARCH_FILTER,es
add flour to my list,ADD,en
search for yogurt,SEARCH_ITEM,en
compra 2 bottles of yogur,ADD,es
search for great value milk,SEARCH_ITEM,en
delete onions,REMOVE,en
where can i find chicken,SEARCH_ITEM,en
muestrame pan,SEARCH_ITEM,es
agrega espinacas a mi lista,ADD,es
sasta paneer $8 se kam mein,SEARCH_FILTER,hi
toothpaste under $8,SEARCH_FILTER,en
olive oil under $15,SEARCH_FILTER,en
elimina harina,REMOVE,es
a dozen rice,ADD,en
find sugar between $4 and $12,SEARCH_FILTER,en
busca pasta entre $15 y $18,SEARCH_FILTER,es
remove toothpaste,REMOVE,en
elimina leche,REMOVE,es
mujhe tamatar chahiye,ADD,hi
remove olive oil,REMOVE,en
cancela detergente,REMOVE,es
"we already have bananas, remove it",REMOVE,en
"se nos acabo el aceite de oliva, agregalo",ADD,es
2 palak,ADD,hi
palak hatao,REMOVE,hi
pasta hatao,REMOVE,hi
saca huevos de la lista,REMOVE,es
put olive oil on the list,ADD,en
show me flour,SEARCH_ITEM,en
"ya tenemos arroz, quitalo",REMOVE,es
i don't need yogurt anymore,REMOVE,en
find trader joe's tomatoes under $3,SEARCH_FILTER,en
put shampoo on the list,ADD,en
add cereal to my list,ADD,en
busca papas entre $2 y $5,SEARCH_FILTER,es
pasta por menos de $10,SEARCH_FILTER,es
take orange juice off the list,REMOVE,en
palak mat bhoolna,ADD,hi
muestrame pollo por menos de $2,SEARCH_FILTER,es
atta search karo,SEARCH_ITEM,hi
get rid of cereal,REMOVE,en
show orange juice priced under $3,SEARCH_FILTER,en
find me potatoes,SEARCH_ITEM,en
makhan dhundo,SEARCH_ITEM,hi
"we already have olive oil, remove it",REMOVE,en
seb small mein dhundo,SEARCH_ITEM,hi
doodh list mein add karo,ADD,hi
